"";"Nr";"Object";"N_Measurements";"purpose";"Special";"Commentary";"Site";"Region";"X"
"313";805;"ZIL_10";1;"pottery";"";"";"Zillum";"Lake_Chad_Southwest";NA
"314";806;"ZIL_10";2;"pottery";"";"";"Zillum";"Lake_Chad_Southwest";NA
"315";807;"ZIL_10";3;"pottery";"";"";"Zillum";"Lake_Chad_Southwest";NA
"316";808;"GAR_1";1;"pottery";"";"";"Garumele";"Lake_Chad_Northwest";NA
"317";809;"GAR_1";2;"pottery";"";"";"Garumele";"Lake_Chad_Northwest";NA
"318";810;"GAR_1";3;"pottery";"";"";"Garumele";"Lake_Chad_Northwest";NA
"319";811;"GAR_1";4;"pottery";"";"";"Garumele";"Lake_Chad_Northwest";NA
"320";812;"GAR_2";1;"pottery";"";"";"Garumele";"Lake_Chad_Northwest";NA
"321";813;"GAR_2";2;"pottery";"";"";"Garumele";"Lake_Chad_Northwest";NA
"322";814;"GAR_2";3;"pottery";"";"";"Garumele";"Lake_Chad_Northwest";NA
"323";815;"GAR_3";1;"pottery";"";"";"Garumele";"Lake_Chad_Northwest";NA
"324";816;"GAR_3";2;"pottery";"";"";"Garumele";"Lake_Chad_Northwest";NA
"325";817;"GAR_3";3;"pottery";"";"";"Garumele";"Lake_Chad_Northwest";NA
"326";818;"GAR_4";1;"pottery";"";"";"Garumele";"Lake_Chad_Northwest";NA
"327";819;"GAR_4";2;"pottery";"";"";"Garumele";"Lake_Chad_Northwest";NA
"328";820;"GAR_4";3;"pottery";"";"";"Garumele";"Lake_Chad_Northwest";NA
"329";821;"GAR_5";1;"pottery";"";"";"Garumele";"Lake_Chad_Northwest";NA
"330";822;"GAR_5";2;"pottery";"";"";"Garumele";"Lake_Chad_Northwest";NA
"331";823;"GAR_5";3;"pottery";"";"";"Garumele";"Lake_Chad_Northwest";NA
"332";824;"GAR_6";1;"pottery";"";"";"Garumele";"Lake_Chad_Northwest";NA
